Naam;Eiwit (g) per 100 gram;Energie (kcal) per 100 gram;1 VSE;Hoeveelheid gram/ml;Eiwit (g) per VSE;Energie (kcal) per VSE;Kleurgroep;Productgroep
Wokkels;3,4;493;1 handje;10 gram;0,3;49;oranje;Noten, zaden en chips
Bamibal, bamischijf (onb);5,8;165;1 stuk;100 gram;5,8;165;rood;Snacks
Frisdrank;0;37;1 glas;200 ml;0;74;groen;Dranken
Kroket (onbereid);7,6;187;1 stuk;100 gram;7,6;187;rood;Snacks
Loempia (bereid);7,1;181;1 stuk;150 gram;10,7;272;rood;Snacks
Saucijzenbroodje;7,2;356;1 stuk;100 gram;7,2;356;rood;Snacks
Pepermunt;0,6;395;2 stuks;5 gram;0;20;groen;Snoep, suiker, zoete sauzen
Borstplaat, room-;0,7;346;1 stukje;10 gram;0,1;35;groen;Snoep, suiker, zoete sauzen
Chocoladesaus (dessert);2,1;269;1 sauslepel;25 gram;0,5;67;oranje;Snoep, suiker, zoete sauzen
Zuurtje;0;380;2 stuks;10 gram;0;38;groen;Snoep, suiker, zoete sauzen
Engelse drop;3,7;394;2 stuks;10 gram;0,4;39;oranje;Snoep, suiker, zoete sauzen
Marshmellows;4,6;329;2 stuks;10 gram;0,5;33;oranje;Snoep, suiker, zoete sauzen
Gebonden soep z vulling;0,6;40;1 kop;250 gram;1,5;100;oranje;Soepen
Groentensoep (blik/zak);2;41;1 kop;250 gram;5;103;rood;Soepen
Soep, groente-/ vlees (pakje);0,6;18;1 kop;250 gram;1,5;45;oranje;Soepen
Curryketchup;0,8;129;1 eetlepel;15 gram;0,1;19;groen;Vetten, oliën en hartige sauzen
Kipsaté met saus;13,1;175;1 stokje;50 gram;6,6;88;rood;Vlees en vleeswaren
Moedermelk;1;68;100 ml;100 gram;1;68;oranje;Zuigelingenvoeding
Aardappelen, gebakken;1,8;120;2 opscheplepels;100 gram;1,8;120;oranje;Aardappelen en knolgewassen
Aardappelmeel;0;320;1 eetlepel;10 gram;0;32;groen;Graanproducten, pappen en bindmiddelen
Aardbeien;0,7;29;1 schaaltje;125 gram;0,9;36;groen;Fruit
Aardbeien op siroop;0,5;71;1 schaaltje;125 gram;0,6;89;groen;Fruit
Abrikozen, gedroogd;5;285;5 stuks;25 gram;1,3;71;oranje;Fruit
Abrikozen op siroop;0,4;69;1 schaaltje;125 gram;0,5;86;groen;Fruit
Andijvie (gekookt);1,4;22;2 opscheplepels;100 gram;1,4;22;oranje;Groenten en peulvruchten
Baklava;10,4;461;100 gram;100 gram;10,4;461;rood;Gebak en koek
Bamboespruiten (blik/glas);2;33;1 opscheplepel;50 gram;1;17;oranje;Groenten en peulvruchten
Barbecuesaus;0,9;95;1 eetlepel;20 gram;0,2;19;groen;Vetten, oliën en hartige sauzen
Bastognekoek;4,9;493;1 stuk;10 gram;0,5;49;oranje;Gebak en koek
Rode biet (rauw);1,7;38;100 gram;100 gram;1,7;38;oranje;Groenten en peulvruchten
Bietensap;0,9;34;1 glas;150 gram;1,4;51;oranje;Dranken
Bleekselderij (gekookt);1;14;2 opscheplepels;100 gram;1;14;oranje;Groenten en peulvruchten
Bleekselderij (rauw);1;14;1 schaaltje;70 gram;0,7;10;groen;Groenten en peulvruchten
Bladselderij (vers);1;16;1 takje;2 gram;0;0;groen;Kruiden en specerijen
Bounty;3,7;486;1 stuk, 2 kleine;57 gram;2,1;277;oranje;Chocola
Bramen;0,9;37;1 schaaltje;125 gram;1,1;46;groen;Fruit
Carambola;0,5;37;1 stuk;155 gram;0,8;57;groen;Fruit
Champignons (gebakken);2,6;54;2 opscheplepels;100 gram;2,6;54;oranje;Groenten en peulvruchten
Champignons (gekookt);3,8;21;2 opscheplepels;100 gram;3,8;21;oranje;Groenten en peulvruchten
Champignons (blik/ glas);2,2;19;2 opscheplepels;100 gram;2,2;19;oranje;Groenten en peulvruchten
Chinese kool (gekookt);1;17;2 opscheplepels;100 gram;1;17;oranje;Groenten en peulvruchten
Chinese kool (rauw);1;17;1 schaaltje;35 gram;0,4;6;groen;Groenten en peulvruchten
Citroensap (vers);0,4;47;1 eetlepel;10 gram;0;5;groen;Dranken
Citrusfruit, vers (gem);0,8;48;1 portie;125 gram;1;60;groen;Fruit
Courgette (gekookt);1,5;19;2 opscheplepels;100 gram;1,5;19;oranje;Groenten en peulvruchten
Cranberry's (vers);0,4;24;1 eetlepel;15 gram;0,1;4;groen;Fruit
Dagoeblad (rauw);3;34;100 gram;100 gram;3;34;oranje;Groenten en peulvruchten
Druivenblad (glas);3,3;33;100 gram;100 gram;3,3;33;oranje;Groenten en peulvruchten
Druivensap;0,2;65;1 glas;150 gram;0,3;98;groen;Dranken
Duopasta z. chocolade;0,8;567;1 voor 1 snee;15 gram;0,1;85;groen;Broodbeleg, zoet
Ei, kippen- (gebakken);14,4;220;1 stuk;50 gram;7,2;110;rood;Eieren
Frambozen;1,4;37;1 schaaltje;125 gram;1,8;46;groen;Fruit
Frambozen op siroop;0,5;71;1 schaaltje;125 gram;0,6;89;groen;Fruit
Frituurvet;0;900;1 eetlepel;10 gram;0;90;groen;Vetten, oliën en hartige sauzen
Fruit, vers (gemiddeld);0,6;62;1 stuk, 2 kleine;125 gram;0,8;78;groen;Fruit
Gehakt, rul gebakken (rund/ hoh);30,1;317;1 portie;80 gram;24,1;254;rood;Vlees en vleeswaren
Gelatine;88;352;1 blaadje;2 gram;1,8;7;rood;Graanproducten, pappen en bindmiddelen
Gember (vers of op siroop);1,8;288;1 bolletje;5 gram;0,1;14;groen;Kruiden en specerijen
Granaatappel;1;91;1 stuk;150 gram;1,5;137;groen;Fruit
Grapefruit;0,9;37;1 halve;75 gram;0,7;28;groen;Fruit
Guave ;2,6;75;1 halve;45 gram;1,2;34;groen;Fruit
Grapefruit op siroop;0,5;66;1 schaaltje;125 gram;0,6;83;groen;Fruit
Grapefruitsap;0,5;34;1 glas;150 gram;0,8;51;groen;Dranken
Groene erwten (gekookt);8,4;126;2 opscheplepels;100 gram;8,4;126;rood;Groenten en peulvruchten
Halvanaise;1;400;1 eetlepel;20 gram;0,2;80;oranje;Vetten, oliën en hartige sauzen
Honing;0,3;321;1 voor 1 snee;15 gram;0;48;groen;Broodbeleg, zoet
Kaisoi (rauw);3;32;100 gram;100 gram;3;32;oranje;Groenten en peulvruchten
Kaki / sharonvrucht;0,5;77;1 stuk;150 gram;0,8;116;groen;Fruit
Kastanje, rauw;4;189;5 stuks;20 gram;0,8;38;oranje;Noten, zaden en chips
Kersen;0,9;57;1 schaaltje;125 gram;1,1;71;groen;Fruit
Kersen op siroop;0,6;63;1 schaaltje;100 gram;0,6;63;groen;Fruit
Knolselderij (rauw/ gekookt);2;38;2 opscheplepels;100 gram;2;38;oranje;Groenten en peulvruchten
Li­ga Bel­vi­ta bis­cuits;7,7;438;1 stuk;13 gram;1;57;oranje;Gebak en koek
Koolrabi (rauw);0,9;31;100 gram;100 gram;0,9;31;oranje;Groenten en peulvruchten
Kokosmakronen;4;455;1 stuk;50 gram;2;228;oranje;Gebak en koek
Kokosbrood;3,2;426;1 plak;30 gram;1;128;oranje;Broodbeleg, zoet
Komkommer (gekookt);1;17;2 opscheplepels;100 gram;1;17;oranje;Groenten en peulvruchten
Koolrabi (gekookt);2;31;2 opscheplepels;100 gram;2;31;oranje;Groenten en peulvruchten
Krakeling;6,7;497;1 stuk;20 gram;1,3;99;oranje;Gebak en koek
Krenten (gedroogd);2;326;1 eetlepel;10 gram;0,2;33;oranje;Fruit
Kookroom;2,4;212;1 eetlepel;15 gram;0,4;32;oranje;Melkproducten- Room
Kroepoek naturel;3,5;516;1 schaaltje;25 gram;0,9;129;oranje;Noten, zaden en chips
Kumquat;0,9;52;1 stuk;10 gram;0,1;5;groen;Fruit
Lange vingers;7,2;402;1 stuk;5 gram;0,4;20;oranje;Gebak en koek
Likeur, room- (zoals Baileys);2,7;294;1 glaasje;35 gram;0,9;103;oranje;Dranken
Lychee;0,9;72;1 stuk;10 gram;0,1;7;groen;Fruit
M&M's chocolade met pinda's;9,8;511;1 zakje;45 gram;4,4;230;rood;Chocola
Mais, suiker- (gekookt);2,5;74;1 kolf;80 gram;2;59;oranje;Groenten en peulvruchten
Mais (blik/ glas);2,9;91;2 opscheplepels;100 gram;2,9;91;oranje;Groenten en peulvruchten
Maizena;0;353;1 eetlepel;10 gram;0;35;groen;Graanproducten, pappen en bindmiddelen
Mandarijn;0,7;46;1 stuk;55 gram;0,4;25;groen;Fruit
Mandarijnen op siroop;0,5;59;1 schaaltje;125 gram;0,6;74;groen;Fruit
Mango;0,6;66;1 halve;175 gram;1,1;116;groen;Fruit
Mangochutney;0,7;215;1 eetlepel;15 gram;0,1;32;groen;Vetten, oliën en hartige sauzen
Marsepein;5,3;420;1 stukje;25 gram;1,3;105;oranje;Snoep, suiker, zoete sauzen
Mayonaise;1,1;664;1 eetlepel;20 gram;0,2;133;oranje;Vetten, oliën en hartige sauzen
Meergranen brood (gem);12,3;261;1 snee;35 gram;4,3;91;rood;Brood en crackers
Melkchocolade;7;548;1 reep;40 gram;2,8;219;rood;Chocola
Melkchocolade met noten;7,7;562;1 reep;40 gram;3,1;225;rood;Chocola
Milky way;4;448;2 staafjes;45 gram;1,8;202;oranje;Chocola
Morellen;1;52;1 schaaltje;160 gram;1,6;83;groen;Fruit
Nectarine;1;36;1 stuk;90 gram;0,9;32;groen;Fruit
Nuts;4,6;497;1 stuk;50 gram;2,3;249;oranje;Chocola
Okra (rauw/ gekookt);1,9;22;100 gram;100 gram;1,9;22;oranje;Groenten en peulvruchten
Olie - alle soorten (gemiddeld);0,1;898;1 eetlepel;15 gram;0;135;groen;Vetten, oliën en hartige sauzen
Olijven (pot);0,9;113;10 stuks;20 gram;0,2;23;groen;Groenten en peulvruchten
Paksoi (rauw);1;14;100 gram;100 gram;1;14;oranje;Groenten en peulvruchten
Paksoi (gekookt);1,6;17;2 opscheplepels;100 gram;1,6;17;oranje;Groenten en peulvruchten
Papaja;0,5;39;1 schaaltje;150 gram;0,8;59;groen;Fruit
Paprika (gekookt);0,8;26;1 opscheplepel;50 gram;0,4;13;oranje;Groenten en peulvruchten
Paprika (rauw), schoon gewicht;0,8;24;1 stuk;80 gram;0,6;19;groen;Groenten en peulvruchten
Paprika, zoetzuur (pot);0,9;16;1 opscheplepel;50 gram;0,5;8;groen;Groenten en peulvruchten
Passievrucht;2,6;52;1 stuk;15 gram;0,4;8;groen;Fruit
Peer (gem, z. schil/pit);0,3;53;1 stuk;130 gram;0,4;69;groen;Fruit
Peren (gedroogd);2;287;10 stuks;30 gram;0,6;86;oranje;Fruit
Peren op siroop (blik/ glas);0,3;64;1 schaaltje;125 gram;0,4;80;groen;Fruit
Perensap;0,1;39;1 glas;150 gram;0,2;59;groen;Dranken
Peultjes (rauw);2;33;100 gram;100 gram;2;33;oranje;Groenten en peulvruchten
Peultjes (gekookt);2;33;2 opscheplepels;100 gram;2;33;oranje;Groenten en peulvruchten
Piccalilly;1,3;53;1 eetlepel;15 gram;0,2;8;oranje;Vetten, oliën en hartige sauzen
Pompoen (rauw);0,7;14;100 gram;100 gram;0,7;14;oranje;Groenten en peulvruchten
Pompoen (gekookt);0,6;14;2 opscheplepels;100 gram;0,6;14;oranje;Groenten en peulvruchten
Pomtajer (bereid);3,4;99;1 stuk;75 gram;2,6;74;oranje;Aardappelen en knolgewassen
Popcorn, gepoft (naturel);13;386;1 handje;10 gram;1,3;39;oranje;Noten, zaden en chips
Postelein (rauw);1;13;100 gram;100 gram;1;13;oranje;Groenten en peulvruchten
Prei (gekookt);1,1;22;2 opscheplepels;100 gram;1,1;22;oranje;Groenten en peulvruchten
Pruimen met schil;0,8;40;1 stuk;40 gram;0,3;16;groen;Fruit
Pruimen (gedroogd);2;220;5 stuks;30 gram;0,6;66;oranje;Fruit
Puddingbroodje;5,2;214;1 stuk;100 gram;5,2;214;rood;Gebak en koek
Puddingpoeder (div smaken);0;377;1 eetlepel;10 gram;0;38;groen;Graanproducten, pappen en bindmiddelen
Puddingpoeder (chocolade);1;370;1 eetlepel;10 gram;0,1;37;oranje;Graanproducten, pappen en bindmiddelen
Pure chocolade;6,5;531;1 reep;40 gram;2,6;212;rood;Chocola
Quornstukjes (onbereid);14;114;1 portie;80 gram;11,2;91;rood;Vegetarische producten
Raapstelen (rauw);2;17;100 gram;100 gram;2;17;oranje;Groenten en peulvruchten
Rabarber (rauw);1;23;100 gram;100 gram;1;23;groen;Groenten en peulvruchten
Radijs (rauw);1;22;1 stuk;8 gram;0,1;2;groen;Groenten en peulvruchten
Rijstwafel naturel m zout;7,8;392;1 stuk;7 gram;0,5;27;oranje;Brood en crackers
Rijstwafel naturel z zout;6,6;390;1 stuk;7 gram;0,5;27;oranje;Brood en crackers
Rode kool (rauw);2;27;100 gram;100 gram;2;27;oranje;Groenten en peulvruchten
Rode kool (gekookt);1,3;23;2 opscheplepels;100 gram;1,3;23;oranje;Groenten en peulvruchten
Rode kool met appel (dv);1,1;57;2 opscheplepels;100 gram;1,1;57;oranje;Groenten en peulvruchten
Roggemeel;10;328;1 eetlepel;10 gram;1;33;rood;Graanproducten, pappen en bindmiddelen
Roggevlokken (geplet);12;352;1 eetlepel;10 gram;1,2;35;rood;Graanproducten, pappen en bindmiddelen
Roomboter;0,7;737;1 eetlepel;15 gram;0,1;111;groen;Vetten, oliën en hartige sauzen
Sandwichspread (gemiddeld);1,6;235;1 voor 1 snee;15 gram;0,2;35;oranje;Broodbeleg, hartig
Santen (kokoscreme, vast);6;687;1 eetlepel;15 gram;0,9;103;rood;Vetten, oliën en hartige sauzen
Schorseneren (gekookt);1;84;2 opscheplepels;100 gram;1;84;oranje;Groenten en peulvruchten
Seitan;24,8;113;1 portie;80 gram;19,8;90;rood;Vegetarische producten
Schaschliksaus;0,8;109;1 eetlepel;20 gram;0,2;22;groen;Vetten, oliën en hartige sauzen
Sinaasappel;0,8;48;1 stuk;120 gram;1;58;groen;Fruit
Sinaasappelsap;0,6;44;1 glas;150 gram;0,9;66;groen;Dranken
Sla, krop- (rauw);1,4;13;1 schaaltje;35 gram;0,5;5;groen;Groenten en peulvruchten
Smeerleverworst;12,3;319;1 voor 1 snee;15 gram;1,8;48;rood;Vlees en vleeswaren
Snickers;8,7;484;1 stuk;50 gram;4,4;242;rood;Chocola
Snijbiet (gekookt);3;29;2 opscheplepels;100 gram;3;29;oranje;Groenten en peulvruchten
Snijbiet (rauw);3;29;100 gram;100 gram;3;29;oranje;Groenten en peulvruchten
Speculaas;5,2;475;1 stuk;10 gram;0,5;48;oranje;Gebak en koek
Thee, bereid;0;0;1 glas;150 gram;0;0;groen;Dranken
Vleeswaren, vet ;14,5;308;1 voor 1 snee;15 gram;2,2;46;rood;Vlees en vleeswaren
Vleeswaren (gemiddeld);16,2;236;1 voor 1 snee;15 gram;2,4;35;rood;Vlees en vleeswaren
Vleeswaren, mager;16,8;152;1 voor 1 snee;15 gram;2,5;23;rood;Vlees en vleeswaren
Jus (ongb) z juspoeder;0,3;340;1 sauslepel;25 gram;0,1;85;groen;Vetten, oliën en hartige sauzen
Spaanse peper (rauw);1,8;30;1 stuk;10 gram;0,2;3;groen;Kruiden en specerijen
Soepstengel;12,5;401;1 stuk;5 gram;0,6;20;oranje;Gebak en koek
Speculoospasta (Lotus);3,2;579;1 voor 1 snee;15 gram;0,5;87;oranje;Broodbeleg, zoet
Sopropo (rauw);1;15;100 gram;100 gram;1;15;oranje;Groenten en peulvruchten
Sopropo (gekookt);0,8;18;2 opscheplepels;100 gram;0,8;18;oranje;Groenten en peulvruchten
Spinazie (rauw);3,2;26;100 gram;100 gram;3,2;26;oranje;Groenten en peulvruchten
Spinazie (diepvries);2,3;24;2 opscheplepels;100 gram;2,3;24;oranje;Groenten en peulvruchten
Spinazie (gekookt);2,9;25;2 opscheplepels;100 gram;2,9;25;oranje;Groenten en peulvruchten
Spitskool (rauw);3;42;100 gram;100 gram;3;42;oranje;Groenten en peulvruchten
Spitskool (gekookt);1,1;21;2 opscheplepels;100 gram;1,1;21;oranje;Groenten en peulvruchten
Spruitjes (gekookt);2,3;47;2 opscheplepels;100 gram;2,3;47;oranje;Groenten en peulvruchten
Spruitjes (rauw);2,3;46;100 gram;100 gram;2,3;46;oranje;Groenten en peulvruchten
Appelstroop;1,8;280;1 voor 1 snee;15 gram;0,3;42;oranje;Broodbeleg, zoet
Suiker (alle soorten);0;398;1 eetlepel;15 gram;0;60;groen;Snoep, suiker, zoete sauzen
Suikermais (gekookt);2,5;74;2 opscheplepels;100 gram;2,5;74;oranje;Groenten en peulvruchten
Tajerblad (rauw);2;19;100 gram;100 gram;2;19;oranje;Groenten en peulvruchten
Tahoe;11,6;113;1 portie;80 gram;9,3;90;rood;Vegetarische producten
Tajerblad (bereid);4,6;38;2 opscheplepels;100 gram;4,6;38;oranje;Groenten en peulvruchten
Tartex veg pate (gem);7,5;226;1 voor 1 snee;15 gram;1,1;34;oranje;Broodbeleg, hartig
Bruinbrood, tarwe- ;9,8;236;1 snee;35 gram;3,4;83;rood;Brood en crackers
Tarwezemelen;17,4;286;1 eetlepel;5 gram;0,9;14;oranje;Graanproducten, pappen en bindmiddelen
Tempeh (bereid);12,2;150;1 portie;80 gram;9,8;120;rood;Vegetarische producten
Tomaat (rauw);0,7;20;1 stuk;70 gram;0,5;14;groen;Groenten en peulvruchten
Tomaat (gekookt);0,7;23;2 opscheplepels;100 gram;0,7;23;oranje;Groenten en peulvruchten
Tomaat in blik;1,1;24;2 opscheplepels;100 gram;1,1;24;oranje;Groenten en peulvruchten
Tomatenpuree geconc. (blik);4,5;87;1 eetlepel;10 gram;0,5;9;oranje;Vetten, oliën en hartige sauzen
Tomaten-groentensap;1;21;1 glas;150 gram;1,5;32;oranje;Dranken
Tomatenketchup;1;77;1 eetlepel;15 gram;0,2;12;oranje;Vetten, oliën en hartige sauzen
Tomatensaus k&k (pot);1,6;68;1 sauslepel;25 gram;0,4;17;oranje;Vetten, oliën en hartige sauzen
Tompouce;3,8;288;1 stuk;100 gram;3,8;288;oranje;Gebak en koek
Tursu, Tafelzuur (Turks);0,6;24;1 opscheplepel;50 gram;0,3;12;groen;Groenten en peulvruchten
Twix;4,5;495;2 staafjes;50 gram;2,3;248;oranje;Chocola
Venkel (gekookt);1;17;2 opscheplepels;100 gram;1;17;oranje;Groenten en peulvruchten
Venkel (rauw);1;17;100 gram;100 gram;1;17;oranje;Groenten en peulvruchten
Vinaigrette dressing;0,6;593;1 sauslepel;25 gram;0,2;148;groen;Vetten, oliën en hartige sauzen
Vruchten op eigen sap (pot);0,6;47;1 schaaltje;125 gram;0,8;59;groen;Fruit
Vruchten op siroop gem. (pot);0,4;67;1 schaaltje;125 gram;0,5;84;groen;Fruit
Vruchtensap (multi-);0,4;47;1 glas;150 gram;0,6;71;groen;Dranken
Vruchtensaus (dessert);0,3;189;1 sauslepel;25 gram;0,1;47;groen;Snoep, suiker, zoete sauzen
Volkorenbrood;11,1;234;1 snee;35 gram;3,9;82;rood;Brood en crackers
Watermeloen;0,5;36;1 schijf;150 gram;0,8;54;groen;Fruit
Witlof (gekookt);1,2;16;2 opscheplepels;100 gram;1,2;16;oranje;Groenten en peulvruchten
Witlof (rauw);1,3;19;1 schaaltje;35 gram;0,5;7;groen;Groenten en peulvruchten
Witte chocolade;6,4;552;1 reep;40 gram;2,6;221;rood;Chocola
Witte kool (gekookt);0,9;16;2 opscheplepels;100 gram;0,9;16;oranje;Groenten en peulvruchten
Witte kool (rauw);2;30;100 gram;100 gram;2;30;oranje;Groenten en peulvruchten
Worstenbroodje;11,8;382;1 stuk;100 gram;11,8;382;rood;Snacks
Wortelen (gekookt);0,7;32;2 opscheplepels;100 gram;0,7;32;oranje;Groenten en peulvruchten
Wortelsap;0,4;29;1 glas;150 gram;0,6;44;groen;Dranken
Yam (gekookt);1,7;144;1 stuk;100 gram;1,7;144;oranje;Aardappelen en knolgewassen
Zelfrijzend bakmeel;10,3;339;1 eetlepel;10 gram;1;34;rood;Graanproducten, pappen en bindmiddelen
Zuurkool (rauw);1,1;13;2 opscheplepels;100 gram;1,1;13;oranje;Groenten en peulvruchten
Zuurkool (gekookt);0,9;14;2 opscheplepels;100 gram;0,9;14;oranje;Groenten en peulvruchten
Zwitserse strooikaas;55;228;1 voor 1 snee;5 gram;2,8;11;rood;Kaas
Vis, mager (rauw);19,3;90;1 portie;100 gram;19,3;90;rood;Vis
Vis, vet (rauw);17,2;242;1 portie;100 gram;17,2;242;rood;Vis
Abrikozen met schil;0,9;44;1 stuk;30 gram;0,3;13;groen;Fruit
Ananas, vers;0,5;54;1 schijf;40 gram;0,2;22;groen;Fruit
Ananas op siroop/ sap;0,4;69;1 schaaltje;125 gram;0,5;86;groen;Fruit
Aubergine, gekookt;1;21;2 opscheplepels;100 gram;1;21;oranje;Groenten en peulvruchten
Aubergine, rauw;1;20;100 gram;100 gram;1;20;oranje;Groenten en peulvruchten
Bakbanaan (rijp, rauw);1,3;138;1 stuk;125 gram;1,6;173;oranje;Aardappelen en knolgewassen
Banaan;1,1;92;1 stuk;130 gram;1,4;120;groen;Fruit
Bonbon;5,5;512;1 stuk;15 gram;0,8;77;rood;Chocola
Broodje, meergranen (hard);12,9;294;1 stuk;50 gram;6,5;147;rood;Brood en crackers
Broodje, meergranen (zacht);13,4;283;1 stuk;50 gram;6,7;142;rood;Brood en crackers
Broodje, tarwe (hard/ zacht);11;268;1 stuk;50 gram;5,5;134;rood;Brood en crackers
Broodje, wit (hard);10;277;1 stuk;50 gram;5;139;rood;Brood en crackers
Broodje, wit (zacht);9,7;262;1 stuk;50 gram;4,9;131;rood;Brood en crackers
Citroen;0,8;36;1 stuk;70 gram;0,6;25;groen;Fruit
Donuts (ongevuld);6;358;1 stuk;50 gram;3;179;oranje;Gebak en koek
Ei, kippen- (gekookt/rauw);12,3;130;1 stuk;50 gram;6,2;65;rood;Eieren
Eiwit (wit van kippenei);10,5;44;1 stuk;35 gram;3,7;15;rood;Eieren
Eidooier (geel van kippenei);16,7;361;1 stuk;15 gram;2,5;54;rood;Eieren
Fruitbiscuit;5,5;392;1 stuk;10 gram;0,6;39;oranje;Gebak en koek
Kinderkoekje (gemiddeld);7,6;450;1 stuk;15 gram;1,1;68;oranje;Gebak en koek
Koffiebroodje;5,8;349;1 stuk;50 gram;2,9;175;oranje;Gebak en koek
Kokoskoek;6;518;1 stuk;35 gram;2,1;181;oranje;Gebak en koek
Kruidnagel;6;431;1 stuk;2 gram;0,1;9;groen;Kruiden en specerijen
Pitabroodje (wit);8,6;245;1 stuk;50 gram;4,3;123;rood;Brood en crackers
Scholiertje, koekje m. chocolade;6,3;493;1 stuk;15 gram;0,9;74;oranje;Gebak en koek
Vegetarische schijf;11;210;1 stuk;100 gram;11;210;rood;Vegetarische producten
Vegetarische worst;13,3;259;1 stuk;80 gram;10,6;207;rood;Vegetarische producten
Vegetarische schnitzel (onb);15,2;124;1 stuk;100 gram;15,2;124;rood;Vegetarische producten
Volkorenbiscuit;7,8;459;1 stuk;10 gram;0,8;46;oranje;Gebak en koek
Waterijs;0,2;75;1 stuk;55 gram;0,1;41;groen;Melkproducten- Ijs
Zoen, schuim-, choco-;2,2;382;1 stuk;21 gram;0,5;80;oranje;Gebak en koek
Turks Fruit (snoep);0;372;1 stuk;10 gram;0;37;groen;Snoep, suiker, zoete sauzen
Rozenbotteljam (Roosvicee);1,8;260;1 voor 1 snee;15 gram;0,3;39;oranje;Broodbeleg, zoet
Bosbessen op siroop;0,3;66;1 schaaltje;125 gram;0,4;83;groen;Fruit
Kiemen, tarwe-;31;393;1 eetlepel;6 gram;1,9;24;oranje;Graanproducten, pappen en bindmiddelen
Poffertjesmix;10;337;100 gram;100 gram;10;337;rood;Graanproducten, pappen en bindmiddelen
Sterkers/ Tuinkers (rauw);2;15;1 voor 1 snee;2 gram;0;0;groen;Groenten en peulvruchten
Broccoli (rauw);2,9;27;1 stukje;12 gram;0,3;3;oranje;Groenten en peulvruchten
Maismoutstroop;2,3;287;1 eetlepel;15 gram;0,3;43;oranje;Snoep, suiker, zoete sauzen
Gerstemoutstroop;4,4;283;1 eetlepel;15 gram;0,7;42;oranje;Snoep, suiker, zoete sauzen
1-kops soep, gemiddeld (bereid);1;40;1 kop;175 gram;1,8;70;oranje;Soepen
Satésaus (pakje) bereid;4,2;148;1 sauslepel;25 gram;1,1;37;oranje;Vetten, oliën en hartige sauzen
Stroop, keuken-, schenk-;0;308;1 voor 1 snee;15 gram;0;46;groen;Broodbeleg, zoet
Taugé (gekookt);1,8;17;1 opscheplepel;50 gram;0,9;9;oranje;Groenten en peulvruchten
Taugé (rauw);2,2;25;100 gram;100 gram;2,2;25;oranje;Groenten en peulvruchten
Zilveruien zoetzuur (pot);0,6;34;5 stuks;10 gram;0,1;3;groen;Groenten en peulvruchten
Ui (gekookt);1;35;2 opscheplepels;100 gram;1;35;oranje;Groenten en peulvruchten
Vegetarische balletjes;17,1;243;1 portie;80 gram;13,7;194;rood;Vegetarische producten
Tomatensap;0,8;16;1 glas;150 gram;1,2;24;oranje;Dranken
Ui (gebakken);1,3;58;2 opscheplepels;100 gram;1,3;58;oranje;Groenten en peulvruchten
Pepsels, zoute stokjes;11,9;382;10 stuks;10 gram;1,2;38;oranje;Noten, zaden en chips
Champignons (rauw);2,3;18;100 gram;100 gram;2,3;18;oranje;Groenten en peulvruchten
Indische Cake;4,3;313;1 plak;30 gram;1,3;94;oranje;Gebak en koek
Kipfilet, bereid;30,9;158;1 portie;80 gram;24,7;126;rood;Vlees en vleeswaren
Diksap;0,2;280;1 eetlepel;10 ml;0;28;groen;Dranken
Groene kool (gekookt);1,5;21;2 opscheplepels;100 gram;1,5;21;oranje;Groenten en peulvruchten
Groene kool (rauw);2,4;36;100 gram;100 gram;2,4;36;oranje;Groenten en peulvruchten
Snijbonen (gekookt);1,8;23;2 opscheplepels;100 gram;1,8;23;oranje;Groenten en peulvruchten
Tuinbonen (rauw);5;51;100 gram;100 gram;5;51;rood;Groenten en peulvruchten
Witte bonen in tomatensaus;5,7;101;2 opscheplepels;140 gram;8;141;rood;Groenten en peulvruchten
Bruine bonen (blik/glas);6,5;120;2 opscheplepels;120 gram;7,8;144;rood;Groenten en peulvruchten
Kousenband (gekookt);2,7;29;2 opscheplepels;100 gram;2,7;29;oranje;Groenten en peulvruchten
Kousenband (rauw);3;43;100 gram;100 gram;3;43;oranje;Groenten en peulvruchten
Bruine bonen (gekookt);6,1;108;2 opscheplepels;120 gram;7,3;130;rood;Groenten en peulvruchten
Sojabonen (gekookt);21,5;251;2 opscheplepels;100 gram;21,5;251;rood;Groenten en peulvruchten
Witte bonen (gekookt);7,8;113;2 opscheplepels;120 gram;9,4;136;rood;Groenten en peulvruchten
Sperziebonen (gekookt);1,8;25;2 opscheplepels;100 gram;1,8;25;oranje;Groenten en peulvruchten
Sperziebonen (rauw);2,3;25;100 gram;100 gram;2,3;25;oranje;Groenten en peulvruchten
Snijbonen (rauw);1,9;22;100 gram;100 gram;1,9;22;oranje;Groenten en peulvruchten
Bami goreng, z. ei;6,6;168;2 opscheplepels;120 gram;7,9;202;rood;Samengestelde gerechten
Nasi goreng met ei;6,5;129;2 opscheplepels;100 gram;6,5;129;rood;Samengestelde gerechten
Nasibal, nasischijf (DV);5,8;298;1 stuk;85 gram;4,9;253;rood;Snacks
Mueslikoek;6,5;394;1 stuk;35 gram;2,3;138;oranje;Gebak en koek
Graanreep (Hero B'tween);6,9;444;1 stuk;25 gram;1,7;111;oranje;Gebak en koek
Vruchtendrank met zuivel;0,1;32;1 glas;200 ml;0,2;64;groen;Dranken
Yoghurtdressing;1,2;258;1 sauslepel;25 gram;0,3;65;oranje;Vetten, oliën en hartige sauzen
