Naam;Eiwit (g) per 100 gram;Energie (kcal) per 100 gram;1 VSE;Hoeveelheid gram/ml;Eiwit (g) per VSE;Energie (kcal) per VSE;Kleurgroep;Productgroep
Dadels (vers, zonder pit);1,5;139;2 stuks;36 gram;0,5;50;groen;Fruit
Vijgen (gedroogd);3,3;259;2 stuks;30 gram;1;78;oranje;Fruit
Klaroen, rauw;4;56;100 gram;100 gram;4;56;oranje;Groenten en peulvruchten
Rode biet (gekookt);1,2;30;2 opscheplepels;100 gram;1,2;30;oranje;Groenten en peulvruchten
Klopklop slagschuim (bereid);4;216;1 eetlepel;10 gram;0,4;22;oranje;Melkproducten- Room
Pecannoten;9,2;721;1 handje;25 gram;2,3;180;rood;Noten, zaden en chips
Macadamia noten;7,8;753;1 handje;25 gram;2;188;rood;Noten, zaden en chips
Studentenhaver;11;496;1 handje;25 gram;2,8;124;rood;Noten, zaden en chips
Drop (gemiddeld);8,8;394;2 stuks;10 gram;0,9;39;oranje;Snoep, suiker, zoete sauzen
Suiker (klontje, theelepel);0;400;1 klontje;4 gram;0;16;groen;Snoep, suiker, zoete sauzen
Balsamico azijn;0,7;123;1 eetlepel;15 gram;0,1;18;groen;Vetten, oliën en hartige sauzen
Water;0;0;1 glas;150 gram;0;0;groen;Dranken
